,datetime,destination_in,destination_out,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,valid,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,2025-12-06 04:26:59+00:00,0x116b3e86f2b04c21605c5fC4b95Ba6A82dBF8F3E,0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d,23951459,14021.378680507116,rebalance_plan_1764995144_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,,0.04965600709296346,Staked Dola,autoDOLA,tokemak,inverse,0xb45ad160634c528Cc3D2926d9807104FA3157305,0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d,False,,,,,,,,,
1,2025-09-27 04:27:23+00:00,0x9828b1a3742457D70cE428ddd3Aa51f84ffb37F2,0xF4CeDDf4e2AEc1aa6b4ef2c64739eCaC5C948fA2,23451955,50058.99340722649,rebalance_plan_1758947152_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,0.08421392539172097,0.024137465761260385,reUSD/sDola,SaveDola,curve,curve,0x48d670D189B4b48757992D36897bCa6E3f889040,0x76A962BA6770068bCF454D34dDE17175611e6637,True,0.07414606084725084,0.06895732357838291,0.020671424731415255,0.021164885770809105,23451955.0,23666455.0,23880955.0,2025-10-27 04:39:11+00:00,2025-11-26 05:51:23+00:00
2,2025-09-24 05:27:11+00:00,0x9828b1a3742457D70cE428ddd3Aa51f84ffb37F2,0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d,23430801,8533.158627036413,rebalance_plan_1758691552_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,,0.029970243223545925,reUSD/sDola,autoDOLA,tokemak,curve,0x48d670D189B4b48757992D36897bCa6E3f889040,0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d,True,0.10808525902198163,0.12099663159404406,0.02119986597177026,0.021538861160980804,23430801.0,23645301.0,23859801.0,2025-10-24 05:40:11+00:00,2025-11-23 06:27:47+00:00
3,2025-09-21 04:27:23+00:00,0xF4CeDDf4e2AEc1aa6b4ef2c64739eCaC5C948fA2,0x116b3e86f2b04c21605c5fC4b95Ba6A82dBF8F3E,23409037,10642.086816792123,rebalance_plan_1758428752_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,0.0797539073080427,0.07628852925361065,SaveDola,Staked Dola,inverse,curve,0x76A962BA6770068bCF454D34dDE17175611e6637,0xb45ad160634c528Cc3D2926d9807104FA3157305,True,0.07363981716908796,0.06800327099165715,0.080279614386082,0.07120406694230752,23409037.0,23623537.0,23838037.0,2025-10-21 04:22:23+00:00,2025-11-20 05:00:23+00:00
4,2025-09-20 06:27:23+00:00,0xF4CeDDf4e2AEc1aa6b4ef2c64739eCaC5C948fA2,0x116b3e86f2b04c21605c5fC4b95Ba6A82dBF8F3E,23402489,24986.5357580543,rebalance_plan_1758349552_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,0.07968856646700487,0.07516101989229998,SaveDola,Staked Dola,inverse,curve,0x76A962BA6770068bCF454D34dDE17175611e6637,0xb45ad160634c528Cc3D2926d9807104FA3157305,True,0.0740589464808672,0.06841361842904381,0.0808488632838833,0.07156052436599292,23402489.0,23616989.0,23831489.0,2025-10-20 06:19:35+00:00,2025-11-19 06:57:47+00:00
5,2025-09-20 05:27:23+00:00,0xF4CeDDf4e2AEc1aa6b4ef2c64739eCaC5C948fA2,0x116b3e86f2b04c21605c5fC4b95Ba6A82dBF8F3E,23402190,25006.462264180976,rebalance_plan_1758345952_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,0.07966745516529984,0.07516619241644644,SaveDola,Staked Dola,inverse,curve,0x76A962BA6770068bCF454D34dDE17175611e6637,0xb45ad160634c528Cc3D2926d9807104FA3157305,True,0.07407816743373252,0.06843029499434827,0.08088298978828123,0.0715781670313902,23402190.0,23616690.0,23831190.0,2025-10-20 05:18:23+00:00,2025-11-19 05:57:35+00:00
6,2025-09-20 04:27:23+00:00,0x9828b1a3742457D70cE428ddd3Aa51f84ffb37F2,0x116b3e86f2b04c21605c5fC4b95Ba6A82dBF8F3E,23401892,25007.64290423405,rebalance_plan_1758342352_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,0.07964822332685148,0.02880556037052122,reUSD/sDola,Staked Dola,inverse,curve,0x48d670D189B4b48757992D36897bCa6E3f889040,0xb45ad160634c528Cc3D2926d9807104FA3157305,True,0.07409722942782282,0.06844698185650677,0.021897727631434716,0.022118311498317,23401892.0,23616392.0,23830892.0,2025-10-20 04:18:23+00:00,2025-11-19 04:57:11+00:00
7,2025-09-19 04:27:23+00:00,0x9828b1a3742457D70cE428ddd3Aa51f84ffb37F2,0x116b3e86f2b04c21605c5fC4b95Ba6A82dBF8F3E,23394732,28540.345253023326,rebalance_plan_1758255952_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,0.07982099642359143,0.029905560199223608,reUSD/sDola,Staked Dola,inverse,curve,0x48d670D189B4b48757992D36897bCa6E3f889040,0xb45ad160634c528Cc3D2926d9807104FA3157305,True,0.07455313935224095,0.06884189543224117,0.022308521224251088,0.022262214393558688,23394732.0,23609232.0,23823732.0,2025-10-19 04:15:35+00:00,2025-11-18 04:48:35+00:00
8,2025-09-18 05:27:11+00:00,0x9828b1a3742457D70cE428ddd3Aa51f84ffb37F2,0x116b3e86f2b04c21605c5fC4b95Ba6A82dBF8F3E,23387869,49831.35004769662,rebalance_plan_1758173151_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,0.07573972679559088,0.02949868959887024,reUSD/sDola,Staked Dola,inverse,curve,0x48d670D189B4b48757992D36897bCa6E3f889040,0xb45ad160634c528Cc3D2926d9807104FA3157305,True,0.07500759863143291,0.06917924730931202,0.022546618767192772,0.02236821217724172,23387869.0,23602369.0,23816869.0,2025-10-18 05:11:59+00:00,2025-11-17 05:40:35+00:00
9,2025-09-18 04:27:35+00:00,0x0091Fec1B75013D1b83f4Bb82f0BEC4E256758CB,0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d,23387571,20619.90861422962,rebalance_plan_1758169552_0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d.json,,0.013034538980103802,DOLA/sUSDe,autoDOLA,tokemak,curve,0x744793B5110f6ca9cC7CDfe1CE16677c3Eb192ef,0x79eB84B5E30Ef2481c8f00fD0Aa7aAd6Ac0AA54d,True,-0.03553210861234779,0.11787147135642484,0.02430869953640835,0.021257422696299155,23387571.0,23602071.0,23816571.0,2025-10-18 04:12:23+00:00,2025-11-17 04:40:11+00:00
