,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,projected_swap_cost,projected_net_gain,projected_gross_gain,projected_slippage,valid,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,0,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,24097759,25628.424999999996,rebalance_plan_1766763577_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.07110047980246811,0.024085954741658533,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1766763577_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-12-26 15:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,24999.999999999996,25628.424999,25393.04227419294,25624.571666,,0.07110047980246811,,0.024085954741658533,0.024085954741658533,-0.04701452506080958,,0.0,,3.853332999999111,0.0,0.0,0.015035387465868329,False,,,,,,,,,
1,1,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23927622,51019.299999999996,rebalance_plan_1764700776_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.04679184232162554,0.02369400496275428,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1764700776_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-12-02 18:39:36+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,49999.99999999999,51019.3,50609.20785245277,51011.640025,,0.04679184232162554,,0.02369400496275428,0.02369400496275428,-0.02309783735887126,,0.0,,7.659975000002305,0.0,0.0,0.01501387710141516,False,,,,,,,,,
2,2,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23814487,50879.899999999994,rebalance_plan_1763329177_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.04731402726499128,0.023933510741575906,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1763329177_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-11-16 21:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,49999.99999999999,50879.899999,50556.60357452028,50872.247281,,0.04731402726499128,,0.023933510741575906,0.023933510741575906,-0.023380516523415374,,0.0,,7.652717999997549,0.0,0.0,0.015040748901133761,True,0.06937975678634922,0.08160202642736358,0.02887669763388656,0.023896788730452645,23814487.0,24028987.0,24243487.0,2025-12-17 01:15:59+00:00,2026-01-15 23:45:59+00:00
3,3,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23813593,50878.94999999999,rebalance_plan_1763318377_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.023231811130697794,0.0470064999519511,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1763318377_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-11-16 18:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,49999.99999999999,50878.949999,50556.340467938084,50871.312784,,0.023231811130697794,,0.0470064999519511,0.0470064999519511,0.023774688821253307,,0.0,,7.637214999995194,0.0,0.0,0.015010559377002278,True,0.06931684255050463,0.0814183804547366,0.028963155150099507,0.023940106852605725,23813593.0,24028093.0,24242593.0,2025-12-16 22:16:35+00:00,2026-01-15 20:46:23+00:00
4,4,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23812702,50878.24999999999,rebalance_plan_1763307577_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.04688607094605612,0.04743384550445254,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1763307577_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-11-16 15:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,49999.99999999999,50878.25,50556.30437064118,50870.596369,,0.04688607094605612,,0.04743384550445254,0.04743384550445254,0.0005477745583964203,,0.0,,7.653631000001042,0.0,0.0,0.015043031157716788,True,0.06919098763531739,0.08121425132054116,0.029062276430021017,0.023983170832717615,23812702.0,24027202.0,24241702.0,2025-12-16 19:16:47+00:00,2026-01-15 17:47:47+00:00
5,5,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23790346,400079.49970286,rebalance_plan_1763037577_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.0469325162726242,0.04745035716049498,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1763037577_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-11-13 12:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,393562.8854456509,400079.499702,397686.20612440235,400019.203802,,0.0469325162726242,,0.04745035716049498,0.04745035716049498,0.0005178408878707755,,0.0,,60.29590000002645,0.0,0.0,0.015070979654028253,True,0.07435354060042787,0.08096780307661611,0.0317043539381503,0.025174021638342037,23790346.0,24004846.0,24219346.0,2025-12-13 16:22:23+00:00,2026-01-12 14:52:11+00:00
6,6,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23789448,400090.52418422455,rebalance_plan_1763026777_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.023466812168001006,0.04745106505956565,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1763026777_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-11-13 09:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,393583.4096721155,400090.524184,397703.2177957183,400030.406871,,0.023466812168001006,,0.04745106505956565,0.04745106505956565,0.023984252891564646,,0.0,,60.11731299996609,0.0,0.0,0.015025927725376066,True,0.07435720453621375,0.08088774081016403,0.03182947079266296,0.025230149940063784,23789448.0,24003948.0,24218448.0,2025-12-13 13:21:23+00:00,2026-01-12 11:51:23+00:00
7,7,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23788555,399992.13015929534,rebalance_plan_1763015977_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.07104644425503562,0.047886445709409795,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1763015977_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-11-13 06:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,393492.0352293419,399992.130159,397611.4511444855,399932.001359,,0.07104644425503562,,0.047886445709409795,0.047886445709409795,-0.023159998545625823,,0.0,,60.12880000000587,0.0,0.0,0.015032495758380096,True,0.07423002753113495,0.08074185042837323,0.031941023442009886,0.02527975985861719,23788555.0,24003055.0,24217555.0,2025-12-13 10:21:59+00:00,2026-01-12 08:51:47+00:00
8,8,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23787667,508244.99999999994,rebalance_plan_1763005177_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.02325670018039158,0.04702566879782003,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1763005177_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-11-13 03:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,500000.0,508245.0,505227.9998491906,508168.507701,,0.02325670018039158,,0.04702566879782003,0.04702566879782003,0.023768968617428454,,0.0,,76.4922989999759,0.0,0.0,0.015050280671718541,True,0.07429509168445758,0.08069244683579191,0.03208994868385506,0.02534161751344599,23787667.0,24002167.0,24216667.0,2025-12-13 07:22:35+00:00,2026-01-12 05:52:47+00:00
9,9,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23786775,508233.00000000006,rebalance_plan_1762994377_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.07040521545570033,0.047453330478546656,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1762994377_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-11-13 00:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,500000.0,508233.0,505224.8379915938,508156.847368,,0.07040521545570033,,0.047453330478546656,0.047453330478546656,-0.022951884977153676,,0.0,,76.15263199998299,0.0,0.0,0.014983803098181933,True,0.07429548567784261,0.08061713169499285,0.032238626462157915,0.025403504646263064,23786775.0,24001275.0,24215775.0,2025-12-13 04:23:11+00:00,2026-01-12 02:53:23+00:00
10,10,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,23785885,508220.0,rebalance_plan_1762983577_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,0.07105196616487797,0.0718333837268143,Autopilot Wrapped - Optima,Autopilot Wrapped - Apostro USDC Frontier,silo,silo,0x851c31E75961Bde3237652582A001f8245779f8e,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,rebalance_plan_1762983577_0x408b6A3E2Daf288864968454AAe786a2A042Df36.json,2025-11-12 21:39:37+00:00,0x408b6A3E2Daf288864968454AAe786a2A042Df36,1,0xaCE0eb6dee9f9e1DF3204F7A11992D92C8B36704,Pool2Pool,0x4b1eA6f0E97cB0e859b1521a4548FBd0a94e6a63,0xB07168Fa4Fb794EF4B7D131f53D0Da51Ac114f3F,0x227f68BD50Ad87E33728dBCb79Cb843eEcB34dcd,0x851c31E75961Bde3237652582A001f8245779f8e,apWrap-apfUSDC -> apWrap-soUSDC,500000.0,508220.0,505220.8998929651,508143.75878,,0.07105196616487797,,0.0718333837268143,0.0718333837268143,0.0007814175619363373,,0.0,,76.24122000002535,0.0,0.0,0.015001617409788153,True,0.0743228849096913,0.08055434588238564,0.032412756006625854,0.025477641566669984,23785885.0,24000385.0,24214885.0,2025-12-13 01:23:11+00:00,2026-01-11 23:54:35+00:00
